               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13137,             0.68988,            0.058341,                   0,                   0,                   0,                   0,             0.12599,             0.54962,            0.056007,              0.0892,              0.0012,              0.0012
                   1,              0.1279,             0.44049,            0.056979,                   0,                   0,                   0,                   0,             0.11942,             0.36186,            0.054417,            0.077459,           0.0024587,           0.0024587
                   2,             0.12058,             0.31506,            0.055244,            0.004241,            0.064336,           0.0040245,          0.00080284,             0.11375,             0.29627,            0.052507,            0.065675,           0.0036746,           0.0036746
                   3,             0.11493,             0.25136,            0.053189,            0.004241,            0.064336,           0.0040245,          0.00080284,             0.11375,             0.29627,            0.052507,            0.053848,           0.0048475,           0.0048475
                   4,             0.11634,             0.22466,            0.051271,           0.0057931,             0.12292,           0.0051177,           0.0010185,             0.11321,             0.25342,            0.050791,            0.041978,           0.0059776,           0.0059776
                   5,             0.11556,             0.24444,            0.050881,           0.0057931,             0.12292,           0.0051177,           0.0010185,             0.11321,             0.25342,            0.050791,            0.030065,           0.0070648,           0.0070648
                   6,             0.10827,             0.18234,             0.04997,           0.0070222,             0.14007,           0.0073917,           0.0014009,             0.10918,             0.23831,            0.048921,            0.018109,            0.008109,            0.008109
                   7,             0.11522,             0.23483,            0.050146,           0.0070222,             0.14007,           0.0073917,           0.0014009,             0.10918,             0.23831,            0.048921,            0.008845,            0.008845,            0.008845
                   8,             0.11047,             0.17711,            0.048223,           0.0041716,            0.055245,           0.0029099,           0.0007593,             0.11641,             0.16449,            0.045592,            0.008845,            0.008845,            0.008845
                   9,             0.11457,             0.14943,            0.047374,           0.0041716,            0.055245,           0.0029099,           0.0007593,             0.11641,             0.16449,            0.045592,             0.00868,             0.00868,             0.00868
                  10,             0.11597,             0.16633,            0.046777,           0.0040166,            0.044939,           0.0022968,          0.00030701,             0.12907,             0.18663,            0.041697,            0.008515,            0.008515,            0.008515
                  11,             0.12284,              0.1473,            0.041245,           0.0040166,            0.044939,           0.0022968,          0.00030701,             0.12907,             0.18663,            0.041697,             0.00835,             0.00835,             0.00835
                  12,             0.12429,             0.13283,            0.041151,           0.0040166,            0.044939,           0.0022968,          0.00030701,             0.12907,             0.18663,            0.041697,            0.008185,            0.008185,            0.008185
                  13,             0.12165,             0.14515,            0.041513,           0.0023875,            0.032955,           0.0013405,           0.0001741,             0.11845,              0.1552,            0.038128,             0.00802,             0.00802,             0.00802
                  14,             0.11653,             0.13679,            0.038862,           0.0023875,            0.032955,           0.0013405,           0.0001741,             0.11845,              0.1552,            0.038128,            0.007855,            0.007855,            0.007855
                  15,             0.11866,             0.14196,            0.041198,            0.013029,             0.10227,             0.01112,           0.0025445,             0.11517,             0.13217,            0.036838,             0.00769,             0.00769,             0.00769
                  16,             0.11503,            0.099164,            0.040731,            0.013029,             0.10227,             0.01112,           0.0025445,             0.11517,             0.13217,            0.036838,            0.007525,            0.007525,            0.007525
                  17,             0.11545,             0.10686,            0.039316,            0.013029,             0.10227,             0.01112,           0.0025445,             0.11517,             0.13217,            0.036838,             0.00736,             0.00736,             0.00736
                  18,              0.1107,             0.11888,            0.038941,             0.39555,             0.17817,            0.055518,            0.012884,             0.10436,              0.1445,            0.035802,            0.007195,            0.007195,            0.007195
                  19,             0.10943,             0.11566,            0.038018,             0.39555,             0.17817,            0.055518,            0.012884,             0.10436,              0.1445,            0.035802,             0.00703,             0.00703,             0.00703
                  20,             0.10656,             0.10824,            0.036992,            0.026447,             0.35639,            0.045969,            0.012209,             0.10949,             0.12702,            0.035633,            0.006865,            0.006865,            0.006865
                  21,             0.10988,             0.09949,            0.037351,            0.026447,             0.35639,            0.045969,            0.012209,             0.10949,             0.12702,            0.035633,              0.0067,              0.0067,              0.0067
                  22,             0.10967,             0.11198,            0.038504,            0.026447,             0.35639,            0.045969,            0.012209,             0.10949,             0.12702,            0.035633,            0.006535,            0.006535,            0.006535
                  23,             0.10406,             0.10596,            0.036324,             0.55416,             0.11652,            0.057345,            0.012383,             0.10302,             0.12987,            0.035264,             0.00637,             0.00637,             0.00637
                  24,             0.10639,             0.11695,            0.037325,             0.55416,             0.11652,            0.057345,            0.012383,             0.10302,             0.12987,            0.035264,            0.006205,            0.006205,            0.006205
                  25,             0.10262,            0.091963,            0.036521,             0.73422,             0.15326,            0.065138,            0.012294,             0.10715,             0.11393,            0.034939,             0.00604,             0.00604,             0.00604
                  26,             0.10861,             0.09412,            0.037397,             0.73422,             0.15326,            0.065138,            0.012294,             0.10715,             0.11393,            0.034939,            0.005875,            0.005875,            0.005875
                  27,             0.10583,            0.086614,            0.035201,             0.73422,             0.15326,            0.065138,            0.012294,             0.10715,             0.11393,            0.034939,             0.00571,             0.00571,             0.00571
                  28,             0.10874,             0.11071,            0.036926,             0.78002,             0.19449,             0.12553,             0.02165,             0.10337,             0.12169,            0.034932,            0.005545,            0.005545,            0.005545
