               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  29,             0.10511,             0.09454,            0.036051,             0.78002,             0.19449,             0.12553,             0.02165,             0.10337,             0.12169,            0.034932,             0.00538,             0.00538,             0.00538
                  30,             0.10417,              0.1068,            0.035124,             0.60159,             0.14892,             0.12053,            0.027734,             0.10356,             0.12588,            0.034459,            0.005215,            0.005215,            0.005215
                  31,             0.10274,             0.10408,             0.03691,             0.60159,             0.14892,             0.12053,            0.027734,             0.10356,             0.12588,            0.034459,             0.00505,             0.00505,             0.00505
                  32,             0.10317,             0.10745,            0.035752,             0.60159,             0.14892,             0.12053,            0.027734,             0.10356,             0.12588,            0.034459,            0.004885,            0.004885,            0.004885
                  33,              0.1056,             0.12196,            0.035007,             0.60588,             0.15379,             0.13209,            0.034242,             0.10319,             0.12766,            0.034147,             0.00472,             0.00472,             0.00472
                  34,              0.1053,             0.13521,            0.035696,             0.60588,             0.15379,             0.13209,            0.034242,             0.10319,             0.12766,            0.034147,            0.004555,            0.004555,            0.004555
                  35,            0.095131,             0.09619,            0.034363,             0.81077,             0.19451,             0.25282,            0.067277,             0.08579,             0.13823,            0.033873,             0.00439,             0.00439,             0.00439
                  36,            0.090157,             0.11309,            0.035961,             0.81077,             0.19451,             0.25282,            0.067277,             0.08579,             0.13823,            0.033873,            0.004225,            0.004225,            0.004225
                  37,            0.086034,             0.12676,            0.035591,             0.81077,             0.19451,             0.25282,            0.067277,             0.08579,             0.13823,            0.033873,             0.00406,             0.00406,             0.00406
                  38,            0.086183,             0.11872,            0.035484,              0.7785,             0.18629,              0.1817,            0.049697,             0.08536,             0.14905,             0.03392,            0.003895,            0.003895,            0.003895
                  39,            0.091119,              0.1327,            0.033893,              0.7785,             0.18629,              0.1817,            0.049697,             0.08536,             0.14905,             0.03392,             0.00373,             0.00373,             0.00373
                  40,            0.084503,             0.12206,             0.03419,             0.79623,              0.2179,             0.21847,            0.067514,            0.078743,             0.14665,            0.033701,            0.003565,            0.003565,            0.003565
                  41,            0.079465,             0.12593,            0.034621,             0.79623,              0.2179,             0.21847,            0.067514,            0.078743,             0.14665,            0.033701,              0.0034,              0.0034,              0.0034
                  42,            0.078917,             0.12923,            0.033457,             0.66044,             0.27211,              0.2361,            0.070702,            0.076375,             0.15378,            0.033749,            0.003235,            0.003235,            0.003235
                  43,            0.081736,             0.14121,            0.034276,             0.66044,             0.27211,              0.2361,            0.070702,            0.076375,             0.15378,            0.033749,             0.00307,             0.00307,             0.00307
                  44,            0.081854,             0.12739,            0.034909,             0.66044,             0.27211,              0.2361,            0.070702,            0.076375,             0.15378,            0.033749,            0.002905,            0.002905,            0.002905
                  45,            0.076036,             0.13482,            0.035291,             0.74625,             0.44662,             0.38602,             0.12451,            0.067868,               0.154,             0.03327,             0.00274,             0.00274,             0.00274
                  46,            0.074303,              0.1407,            0.035881,             0.74625,             0.44662,             0.38602,             0.12451,            0.067868,               0.154,             0.03327,            0.002575,            0.002575,            0.002575
                  47,            0.070215,             0.12847,            0.033654,              0.7657,             0.42004,             0.44007,             0.14599,            0.067883,             0.14994,            0.032921,             0.00241,             0.00241,             0.00241
                  48,              0.0729,             0.12661,            0.034341,              0.7657,             0.42004,             0.44007,             0.14599,            0.067883,             0.14994,            0.032921,            0.002245,            0.002245,            0.002245
                  49,            0.069777,              0.1083,            0.034507,              0.7657,             0.42004,             0.44007,             0.14599,            0.067883,             0.14994,            0.032921,             0.00208,             0.00208,             0.00208
                  50,            0.064926,              0.1135,            0.033316,             0.75333,             0.44792,             0.44254,             0.17947,            0.060477,             0.14868,            0.032623,            0.001915,            0.001915,            0.001915
                  51,            0.066492,             0.12974,            0.034133,             0.75333,             0.44792,             0.44254,             0.17947,            0.060477,             0.14868,            0.032623,             0.00175,             0.00175,             0.00175
                  52,            0.066828,             0.12981,            0.034262,             0.78607,              0.4224,             0.44053,             0.16766,             0.06193,             0.14641,            0.032334,            0.001585,            0.001585,            0.001585
                  53,            0.063892,             0.12502,            0.033143,             0.78607,              0.4224,             0.44053,             0.16766,             0.06193,             0.14641,            0.032334,             0.00142,             0.00142,             0.00142
                  54,             0.06701,              0.1184,            0.033623,             0.78607,              0.4224,             0.44053,             0.16766,             0.06193,             0.14641,            0.032334,            0.001255,            0.001255,            0.001255
                  55,            0.065466,             0.14427,            0.033262,             0.76829,             0.44553,             0.44424,             0.17485,            0.060563,             0.14668,            0.032123,             0.00109,             0.00109,             0.00109
                  56,            0.062589,             0.10634,            0.034427,             0.76829,             0.44553,             0.44424,             0.17485,            0.060563,             0.14668,            0.032123,            0.000925,            0.000925,            0.000925
                  57,            0.061252,             0.11413,            0.032739,             0.76539,             0.44522,             0.43699,             0.20114,            0.054325,             0.14824,            0.031946,             0.00076,             0.00076,             0.00076
                  58,            0.060851,             0.10802,             0.03497,             0.76539,             0.44522,             0.43699,             0.20114,            0.054325,             0.14824,            0.031946,            0.000595,            0.000595,            0.000595
                  59,            0.062882,              0.1213,            0.034422,             0.76539,             0.44522,             0.43699,             0.20114,            0.054325,             0.14824,            0.031946,             0.00043,             0.00043,             0.00043
